"Timestamp","Which season of Orange is the New Black was your favourite?","Who are you most excited to see back?"
"2017/06/08 7:26:05 pm CET","Season 4","Crazy Eyes"
"2017/06/08 7:28:25 pm CET","Season 2","Nicky"
"2017/06/08 7:28:59 pm CET","Season 4","Crazy Eyes"
"2017/06/08 7:30:23 pm CET","Season 4","Burset"
"2017/06/08 7:35:14 pm CET","Season 4","Red"
"2017/06/08 7:35:44 pm CET","Season 4","Nicky"
"2017/06/08 7:38:06 pm CET","Season 1","Daya Diaz"
"2017/06/08 7:38:53 pm CET","Season 3","Vause"
"2017/06/08 7:41:05 pm CET","Season 4","Taystee"
"2017/06/08 7:43:25 pm CET","Season 1","Vause"
"2017/06/08 7:44:11 pm CET","Season 2","Red"
"2017/06/08 7:46:53 pm CET","Season 2","Morello"
"2017/06/08 7:53:28 pm CET","Season 4","Nicky"
"2017/06/08 7:56:18 pm CET","Season 2","Morello"
"2017/06/08 8:01:48 pm CET","Season 3","Vause"
"2017/06/08 8:03:12 pm CET","Season 1","Red"
"2017/06/08 8:10:38 pm CET","Season 2","Red"
"2017/06/08 8:11:04 pm CET","Season 3","Norma"
"2017/06/08 8:11:12 pm CET","Season 2","Taystee"
"2017/06/08 8:12:00 pm CET","Season 1","Piper"
"2017/06/08 8:27:02 pm CET","Season 4","Taystee"
"2017/06/08 8:30:13 pm CET","Season 2","Nicky"
"2017/06/08 8:31:17 pm CET","Season 4","Nicky"
"2017/06/08 8:33:23 pm CET","Season 4","Nicky"
"2017/06/08 8:37:30 pm CET","Season 4","Taystee"
"2017/06/08 8:41:36 pm CET","Season 4","Vause"
"2017/06/08 8:44:58 pm CET","Season 4","Taystee"
"2017/06/08 8:59:49 pm CET","Season 3","Burset"
"2017/06/08 8:59:53 pm CET","Season 3","Nicky"
"2017/06/08 9:00:04 pm CET","Season 4","Taystee"
"2017/06/08 9:10:28 pm CET","Season 1","Red"
"2017/06/08 9:12:07 pm CET","Season 3","Burset"
"2017/06/08 9:16:33 pm CET","Season 3","Taystee"
"2017/06/08 9:28:00 pm CET","Season 3","Red"
"2017/06/08 9:29:31 pm CET","Season 4","Crazy Eyes"
"2017/06/08 9:38:30 pm CET","Season 4","Red"
"2017/06/08 9:41:24 pm CET","Season 4","Taystee"
"2017/06/08 9:44:09 pm CET","Season 2","Red"
"2017/06/08 9:48:47 pm CET","Season 4","Vause"
"2017/06/08 9:51:30 pm CET","Season 4","Nicky"
"2017/06/08 9:51:45 pm CET","Season 2","Red"
"2017/06/08 9:53:10 pm CET","Season 2","Taystee"
"2017/06/08 9:55:38 pm CET","Season 2","Daya Diaz"
"2017/06/08 9:56:17 pm CET","Season 4","Taystee"
"2017/06/08 9:57:19 pm CET","Season 2","Taystee"
